"exp_name";"mse_hist";"mse_sketch"
fixed acidity * volatile acidity;0.000015;101.632622
fixed acidity * volatile acidity;0.001451;419.437408
fixed acidity * volatile acidity;0.005558;9.496983
fixed acidity * volatile acidity;0.000749;474.943787
fixed acidity * volatile acidity;0.000040;871.838684
fixed acidity * volatile acidity;0.000009;647.933594
fixed acidity * volatile acidity;0.001028;0.454906
fixed acidity * volatile acidity;0.000041;378.879700
fixed acidity * volatile acidity;0.000012;4.373317
fixed acidity * volatile acidity;0.000007;2.047047
fixed acidity * volatile acidity;0.000759;721.607910
fixed acidity * volatile acidity;0.000021;8.526392
fixed acidity * volatile acidity;0.000329;205.638702
fixed acidity * volatile acidity;0.000456;14.446311
fixed acidity * volatile acidity;0.000005;2.089132
fixed acidity * volatile acidity;0.000221;0.260995
fixed acidity * volatile acidity;0.000815;278.340271
fixed acidity * volatile acidity;0.000000;1267.432129
fixed acidity * volatile acidity;0.002948;21.109917
fixed acidity * volatile acidity;0.000023;977.507690
fixed acidity * volatile acidity;0.000001;0.366900
fixed acidity * volatile acidity;0.000034;483.056671
fixed acidity * volatile acidity;0.000073;0.390236
fixed acidity * volatile acidity;0.000408;10.545171
fixed acidity * volatile acidity;0.000178;133.557922
fixed acidity * volatile acidity;0.002408;79.327629
fixed acidity * volatile acidity;0.002501;136.695221
fixed acidity * volatile acidity;0.000004;881.227844
fixed acidity * volatile acidity;0.002408;0.994862
fixed acidity * volatile acidity;0.000005;829.280579
fixed acidity * volatile acidity;0.000000;1263.533691
fixed acidity * volatile acidity;0.000028;481.448669
fixed acidity * volatile acidity;0.000006;0.970419
fixed acidity * volatile acidity;0.005903;80.729843
fixed acidity * volatile acidity;0.000039;929.741394
fixed acidity * volatile acidity;0.008965;156.253891
fixed acidity * volatile acidity;0.000014;11.017137
fixed acidity * volatile acidity;0.000360;10.902008
fixed acidity * volatile acidity;0.000011;733.022400
fixed acidity * volatile acidity;0.000845;362.093658
fixed acidity * volatile acidity;0.000893;150.504791
fixed acidity * volatile acidity;0.000000;2287.508057
fixed acidity * volatile acidity;0.004665;51.635509
fixed acidity * volatile acidity;0.000206;414.245483
fixed acidity * volatile acidity;0.000591;202.001678
fixed acidity * volatile acidity;0.002897;29.163086
fixed acidity * volatile acidity;0.000030;14.555824
fixed acidity * volatile acidity;0.000001;0.272943
fixed acidity * volatile acidity;0.000016;3.386973
fixed acidity * volatile acidity;0.000063;435.212921
fixed acidity * volatile acidity;0.005932;325.231079
fixed acidity * volatile acidity;0.000653;33.021049
fixed acidity * volatile acidity;0.000005;423.046814
fixed acidity * volatile acidity;0.000000;683.364807
fixed acidity * volatile acidity;0.003973;21.741390
fixed acidity * volatile acidity;0.006448;159.019257
fixed acidity * volatile acidity;0.000369;10.085453
fixed acidity * volatile acidity;0.000062;326.322815
fixed acidity * volatile acidity;0.000755;0.654846
fixed acidity * volatile acidity;0.004420;38.002144
fixed acidity * volatile acidity;0.002940;78.719063
fixed acidity * volatile acidity;0.000014;625.506531
fixed acidity * volatile acidity;0.000000;59.934883
fixed acidity * volatile acidity;0.002187;44.479328
fixed acidity * volatile acidity;0.001102;7.331935
fixed acidity * volatile acidity;0.000000;1389.776733
fixed acidity * volatile acidity;0.001218;1.699994
fixed acidity * volatile acidity;0.000065;31.890450
fixed acidity * volatile acidity;0.000507;490.139191
fixed acidity * volatile acidity;0.003352;62.045570
fixed acidity * volatile acidity;0.000000;1178.961304
fixed acidity * volatile acidity;0.000833;137.254395
fixed acidity * volatile acidity;0.000001;685.422180
fixed acidity * volatile acidity;0.000006;715.184509
fixed acidity * volatile acidity;0.000027;947.583984
fixed acidity * volatile acidity;0.000012;7.349284
fixed acidity * volatile acidity;0.007094;379.806854
fixed acidity * volatile acidity;0.007609;82.849098
fixed acidity * volatile acidity;0.000000;2712.118896
fixed acidity * volatile acidity;0.000282;189.998352
fixed acidity * volatile acidity;0.000011;718.487305
fixed acidity * volatile acidity;0.000025;27.756308
fixed acidity * volatile acidity;0.002838;37.566269
fixed acidity * volatile acidity;0.000001;1286.023682
fixed acidity * volatile acidity;0.000000;3437.364258
fixed acidity * volatile acidity;0.001609;225.983841
fixed acidity * volatile acidity;0.000503;102.754150
fixed acidity * volatile acidity;0.000000;585.308594
fixed acidity * volatile acidity;0.000000;1305.808960
fixed acidity * volatile acidity;0.000663;373.915649
fixed acidity * volatile acidity;0.000784;0.467029
fixed acidity * volatile acidity;0.002971;160.402023
fixed acidity * volatile acidity;0.000002;1057.983398
fixed acidity * volatile acidity;0.000972;547.332947
fixed acidity * volatile acidity;0.003088;1.158912
fixed acidity * volatile acidity;0.000015;42.075626
fixed acidity * volatile acidity;0.001630;95.696487
fixed acidity * volatile acidity;0.003480;395.722168
fixed acidity * volatile acidity;0.000028;1119.448730
fixed acidity * volatile acidity;0.000007;810.753418
fixed acidity * citric acid;0.000008;50.779766
fixed acidity * citric acid;0.005464;125.989456
fixed acidity * citric acid;0.001891;72.110718
fixed acidity * citric acid;0.000106;101.040558
fixed acidity * citric acid;0.000017;12.939155
fixed acidity * citric acid;0.000011;502.058167
fixed acidity * citric acid;0.000000;1568.578613
fixed acidity * citric acid;0.000000;1302.892578
fixed acidity * citric acid;0.000053;1.787225
fixed acidity * citric acid;0.000000;918.197327
fixed acidity * citric acid;0.000195;73.905365
fixed acidity * citric acid;0.000007;2.109855
fixed acidity * citric acid;0.003750;64.773468
fixed acidity * citric acid;0.000036;845.143372
fixed acidity * citric acid;0.007955;57.979919
fixed acidity * citric acid;0.000825;43.722359
fixed acidity * citric acid;0.000294;519.381287
fixed acidity * citric acid;0.000000;1714.037231
fixed acidity * citric acid;0.000018;18.177540
fixed acidity * citric acid;0.000005;0.213245
fixed acidity * citric acid;0.000036;338.839417
fixed acidity * citric acid;0.000000;501.112488
fixed acidity * citric acid;0.001554;86.069252
fixed acidity * citric acid;0.000021;62.840832
fixed acidity * citric acid;0.000000;1663.996948
fixed acidity * citric acid;0.000000;36.221645
fixed acidity * citric acid;0.002117;92.471382
fixed acidity * citric acid;0.003195;64.825150
fixed acidity * citric acid;0.000030;903.526855
fixed acidity * citric acid;0.001991;152.959030
fixed acidity * citric acid;0.001699;121.837151
fixed acidity * citric acid;0.000000;32.337509
fixed acidity * citric acid;0.000529;507.354309
fixed acidity * citric acid;0.000004;398.575714
fixed acidity * citric acid;0.000023;499.790527
fixed acidity * citric acid;0.000433;5.656375
fixed acidity * citric acid;0.003789;56.820072
fixed acidity * citric acid;0.001145;180.639145
fixed acidity * citric acid;0.000015;19.305141
fixed acidity * citric acid;0.000000;1988.429321
fixed acidity * citric acid;0.000444;7.417769
fixed acidity * citric acid;0.000030;529.428589
fixed acidity * citric acid;0.001375;160.160187
fixed acidity * citric acid;0.000002;1.099987
fixed acidity * citric acid;0.000719;145.276749
fixed acidity * citric acid;0.000708;10.552164
fixed acidity * citric acid;0.000000;1670.234863
fixed acidity * citric acid;0.000566;208.353683
fixed acidity * citric acid;0.000010;285.955139
fixed acidity * citric acid;0.002409;52.652054
fixed acidity * citric acid;0.000025;6.645025
fixed acidity * citric acid;0.003025;14.081124
fixed acidity * citric acid;0.000000;1754.682861
fixed acidity * citric acid;0.000669;22.263960
fixed acidity * citric acid;0.000748;273.751495
fixed acidity * citric acid;0.000538;12.033717
fixed acidity * citric acid;0.000092;307.531952
fixed acidity * citric acid;0.000000;2165.819824
fixed acidity * citric acid;0.002299;192.182190
fixed acidity * citric acid;0.000574;18.597141
fixed acidity * citric acid;0.000001;0.106148
fixed acidity * citric acid;0.004644;100.575378
fixed acidity * citric acid;0.000017;15.882516
fixed acidity * citric acid;0.004899;62.961983
fixed acidity * citric acid;0.001648;659.247681
fixed acidity * citric acid;0.000000;714.239380
fixed acidity * citric acid;0.000003;0.080969
fixed acidity * citric acid;0.000000;466.051422
fixed acidity * citric acid;0.000000;597.476501
fixed acidity * citric acid;0.000118;1.074177
fixed acidity * citric acid;0.005646;37.395702
fixed acidity * citric acid;0.000000;0.015764
fixed acidity * citric acid;0.000000;1450.671753
fixed acidity * citric acid;0.000000;0.408195
fixed acidity * citric acid;0.000000;867.446106
fixed acidity * citric acid;0.000031;12.023533
fixed acidity * citric acid;0.000017;1.004462
fixed acidity * citric acid;0.000001;21.516163
fixed acidity * citric acid;0.000000;142.151703
fixed acidity * citric acid;0.000000;1168.806519
fixed acidity * citric acid;0.000000;738.595215
fixed acidity * citric acid;0.000049;1.662951
fixed acidity * citric acid;0.000000;1536.978882
fixed acidity * citric acid;0.000465;94.294044
fixed acidity * citric acid;0.000438;3.655307
fixed acidity * citric acid;0.003226;297.312958
fixed acidity * citric acid;0.001339;114.315361
fixed acidity * citric acid;0.000000;49.492325
fixed acidity * citric acid;0.001362;225.228424
fixed acidity * citric acid;0.000001;46.910603
fixed acidity * citric acid;0.003939;60.386040
fixed acidity * citric acid;0.000031;543.941040
fixed acidity * citric acid;0.000572;7.759208
fixed acidity * citric acid;0.000000;1297.982178
fixed acidity * citric acid;0.000000;994.601807
fixed acidity * citric acid;0.000152;165.058868
fixed acidity * citric acid;0.004120;63.186249
fixed acidity * citric acid;0.000000;1100.555542
fixed acidity * citric acid;0.000008;38.138176
fixed acidity * citric acid;0.000001;0.673623
fixed acidity * residual sugar;0.000648;39.079559
fixed acidity * residual sugar;0.000000;1524.022827
fixed acidity * residual sugar;0.000000;1943.534546
fixed acidity * residual sugar;0.000887;25.516914
fixed acidity * residual sugar;0.000000;1493.386230
fixed acidity * residual sugar;0.000000;0.002246
fixed acidity * residual sugar;0.000023;6.563656
fixed acidity * residual sugar;0.000000;1122.865479
fixed acidity * residual sugar;0.000000;1038.809814
fixed acidity * residual sugar;0.000155;51.590347
fixed acidity * residual sugar;0.000573;265.160461
fixed acidity * residual sugar;0.000000;1469.740601
fixed acidity * residual sugar;0.003885;55.360058
fixed acidity * residual sugar;0.001169;428.616608
fixed acidity * residual sugar;0.000000;789.634155
fixed acidity * residual sugar;0.000164;0.057696
fixed acidity * residual sugar;0.000000;2712.121094
fixed acidity * residual sugar;0.000000;1088.885498
fixed acidity * residual sugar;0.000000;281.120850
fixed acidity * residual sugar;0.000000;534.443542
fixed acidity * residual sugar;0.002231;247.450851
fixed acidity * residual sugar;0.000105;218.070328
fixed acidity * residual sugar;0.000064;482.172943
fixed acidity * residual sugar;0.000028;51.346729
fixed acidity * residual sugar;0.001400;10.329369
fixed acidity * residual sugar;0.000010;1158.277344
fixed acidity * residual sugar;0.000000;698.778137
fixed acidity * residual sugar;0.000033;879.703918
fixed acidity * residual sugar;0.004653;121.264923
fixed acidity * residual sugar;0.000000;1536.654175
fixed acidity * residual sugar;0.000040;313.148926
fixed acidity * residual sugar;0.000000;972.117737
fixed acidity * residual sugar;0.000291;220.991638
fixed acidity * residual sugar;0.013834;1.236770
fixed acidity * residual sugar;0.000229;285.757202
fixed acidity * residual sugar;0.001270;43.925781
fixed acidity * residual sugar;0.001307;3.617100
fixed acidity * residual sugar;0.000019;684.337891
fixed acidity * residual sugar;0.000000;598.837646
fixed acidity * residual sugar;0.000007;385.840302
fixed acidity * residual sugar;0.000028;236.023941
fixed acidity * residual sugar;0.001846;22.894260
fixed acidity * residual sugar;0.000001;0.414744
fixed acidity * residual sugar;0.002671;3.858956
fixed acidity * residual sugar;0.000000;1593.215210
fixed acidity * residual sugar;0.001431;7.135582
fixed acidity * residual sugar;0.001616;5.800274
fixed acidity * residual sugar;0.000000;1379.999878
fixed acidity * residual sugar;0.000014;30.996155
fixed acidity * residual sugar;0.000000;1248.366211
fixed acidity * residual sugar;0.002448;32.575603
fixed acidity * residual sugar;0.000000;1459.789185
fixed acidity * residual sugar;0.000140;172.382629
fixed acidity * residual sugar;0.005361;24.164270
fixed acidity * residual sugar;0.000604;125.284630
fixed acidity * residual sugar;0.000009;415.837402
fixed acidity * residual sugar;0.000000;1207.445068
fixed acidity * residual sugar;0.000000;1101.492188
fixed acidity * residual sugar;0.000000;1734.702637
fixed acidity * residual sugar;0.000000;559.435242
fixed acidity * residual sugar;0.000000;2554.813477
fixed acidity * residual sugar;0.000440;58.172733
fixed acidity * residual sugar;0.000020;11.390450
fixed acidity * residual sugar;0.000000;2211.600586
fixed acidity * residual sugar;0.000000;848.034668
fixed acidity * residual sugar;0.013260;3.673082
fixed acidity * residual sugar;0.000000;776.148193
fixed acidity * residual sugar;0.000129;204.035889
fixed acidity * residual sugar;0.035399;2.540530
fixed acidity * residual sugar;0.000022;1185.221924
fixed acidity * residual sugar;0.000530;4.411085
fixed acidity * residual sugar;0.000002;687.144409
fixed acidity * residual sugar;0.000012;0.669504
fixed acidity * residual sugar;0.000148;494.280060
fixed acidity * residual sugar;0.001615;32.927994
fixed acidity * residual sugar;0.000427;0.776300
fixed acidity * residual sugar;0.007460;328.072845
fixed acidity * residual sugar;0.001392;50.121613
fixed acidity * residual sugar;0.002097;20.896727
fixed acidity * residual sugar;0.000502;1.012899
fixed acidity * residual sugar;0.000000;1774.153809
fixed acidity * residual sugar;0.000000;46.374268
fixed acidity * residual sugar;0.004899;114.413231
fixed acidity * residual sugar;0.003396;4.021494
fixed acidity * residual sugar;0.000000;1564.208740
fixed acidity * residual sugar;0.000037;0.277207
fixed acidity * residual sugar;0.000000;1509.741211
fixed acidity * residual sugar;0.000000;2974.447021
fixed acidity * residual sugar;0.000000;527.158142
fixed acidity * residual sugar;0.000263;99.803238
fixed acidity * residual sugar;0.000000;1435.152832
fixed acidity * residual sugar;0.000297;0.045380
